Company,Ticker,match_score,matched_name,needs_review
PURPLE GROUP LIMITED,PPE.JO,100.0,Purple Group Ltd,False
PUTPROP LIMITED,PPR.JO,100.0,Putprop Ltd,False
QUANTUM FOODS HOLDINGS LIMITED,,0.0,,True
QUILTER PLC,QLT.JO,100.0,Quilter plc,False
RAINBOW CHICKEN LIMITED,RBO.JO,100.0,Rainbow Chicken Limited,False
RANDGOLD & EXPLORATION COMPANY LIMITED,RNG.JO,76.92307692307693,Randgold & Expl Co Ltd,False
RAUBEX GROUP LIMITED,RBX.JO,100.0,Raubex Group Ltd,False
RCL FOODS LIMITED,RCL.JO,105.0,RCL Foods Limited,False
RECONNAISSANCE ENERGY AFRICA LIMITED,,0.0,,True
REDEFINE PROPERTIES LIMITED,RDF.JO,100.0,Redefine Properties Ltd,False
REINET INVESTMENTS S.C.A,RNI.JO,100.0,Reinet Investments S.C.A,False
REMGRO LIMITED,REM.JO,105.0,Remgro Ltd,False
RENERGEN LIMITED,REN.JO,105.0,Renergen Limited,False
RESILIENT REIT LIMITED,RES.JO,105.0,Resilient REIT Limited,False
REUNERT LIMITED,RLO.JO,100.0,Reunert Ltd,False
REX TRUEFORM GROUP LIMITED,RTN.JO,92.3076923076923,Rex Trueform Group -N-,False
RFG HOLDINGS LIMITED,RFG.JO,105.0,RFG Holdings Limited,False
RH BOPHELO LIMITED,RHB.JO,100.0,RH Bophelo Limited,False
RMB HOLDINGS LIMITED,RMH.JO,100.0,RMB Holdings Ltd,False
SA CORPORATE REAL ESTATE LIMITED,SAC.JO,73.68421052631578,SA Corp Real Estate Ltd,False
SABLE EXPLORATION AND MINING LIMITED,SXM.JO,98.18181818181819,SableExploration&Mining,False
SABVEST CAPITAL LIMITED,SBP.JO,100.0,Sabvest Capital Limited,False
SAFARI INVESTMENTS (RSA) LIMITED,SAR.JO,100.0,Safari Investments RSA Ltd,False
SAIL MINING GROUP LIMITED,,0.0,,True
SALUNGANO GROUP LIMITED,,0.0,,True
SANLAM LIMITED,SLM.JO,100.0,Sanlam Limited,False
SANTAM LIMITED,SNT.JO,100.0,Santam Limited,False
SANTOVA LIMITED,SNV.JO,100.0,Santova Limited,False
SAPPI LIMITED,SAP.JO,105.0,Sappi Ltd,False
SASOL LIMITED,SOL.JO,105.0,Sasol Limited,False
SAVANNA BEEF PROCESSORS LIMITED,,0.0,,True
SBN HOLDINGS LIMITED,,0.0,,True
SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC,,0.0,,True
SEA HARVEST GROUP LIMITED,SHG.JO,100.0,Sea Harvest Group Ltd,False
SEBATA HOLDINGS LIMITED,SEB.JO,105.0,Sebata Holdings Ltd,False
SEPHAKU HOLDINGS LIMITED,SEP.JO,105.0,Sephaku Holdings Ltd,False
SHAFTESBURY CAPITAL PLC,SHC.JO,100.0,Shaftesbury Capital plc,False
SHOPRITE HOLDINGS LIMITED,,0.0,,True
SHUKA MINERALS PLC,SKA.JO,100.0,Shuka Minerals Plc,False
SIBANYE STILLWATER LIMITED,SSW.JO,100.0,Sibanye Stillwater Ltd,False
SIRIUS REAL ESTATE LIMITED,SRE.JO,100.0,Sirius Real Estate Ltd,False
SOUTH OCEAN HOLDINGS LIMITED,SOH.JO,100.0,South Ocean Holdings Ltd,False
SOUTH32 LIMITED,S32.JO,100.0,South32 Limited,False
SOUTHERN PALLADIUM LIMITED,SDL.JO,100.0,Southern Palladium Ltd,False
SOUTHERN SUN LIMITED,SSU.JO,100.0,Southern Sun Ltd,False
SPEAR REIT LIMITED,SEA.JO,100.0,Spear REIT Limited,False
SPUR CORPORATION LIMITED,,0.0,,True
STADIO HOLDINGS LIMITED,SDO.JO,100.0,Stadio Holdings Limited,False
STANDARD BANK GROUP LIMITED,SBK.JO,100.0,Standard Bank Group Ltd,False
STEFANUTTI STOCKS HOLDINGS LIMITED,SSK.JO,84.21052631578947,Stefanutti Stck Hldgs Ltd,False
STIMULUS INVESTMENTS LIMITED,,0.0,,True
STOR-AGE PROPERTY REIT LIMITED,SSS.JO,90.0,Stor-Age Prop REIT Ltd,False
SUN INTERNATIONAL LIMITED,SUI.JO,100.0,Sun International Ltd,False
SUPER GROUP LIMITED,SPG.JO,100.0,Super Group Ltd,False
SUPERMARKET INCOME REIT PLC,,0.0,,True
SYGNIA LIMITED,SYG.JO,105.0,Sygnia Limited,False
TADVEST LIMITED,,0.0,,True
TELEMASTERS HOLDINGS LIMITED,TLM.JO,95.23809523809523,Telemaster Holdings Ltd,False
TELKOM SA SOC LIMITED,,0.0,,True
TEXTON PROPERTY FUND LIMITED,TEX.JO,105.0,Texton Property Fund Ltd,False
THARISA PLC,THA.JO,105.0,Tharisa plc,False
THE BIDVEST GROUP LIMITED,BVT.JO,77.77777777777779,Bidvest Ltd,False
THE FOSCHINI GROUP LIMITED,TFG.JO,100.0,The Foschini Group Limited,False
THE SPAR GROUP LIMITED,,0.0,,True
THUNGELA RESOURCES LIMITED,TGA.JO,100.0,Thungela Resources Ltd,False
TIGER BRANDS LIMITED,TBS.JO,100.0,Tiger Brands Ltd,False
TONGAAT HULETT LIMITED,TON.JO,105.0,Tongaat Hulett Ltd,False
TRANSPACO LIMITED,TPC.JO,100.0,Transpaco Ltd,False
TRELLIDOR HOLDINGS LIMITED,TRL.JO,75.0,Trellidor Hldgs Ltd,False
TREMATON CAPITAL INVESTMENTS LIMITED,TMT.JO,83.33333333333334,Trematon Capital Inv Ltd,False
TRUSTCO GROUP HOLDINGS LIMITED,,0.0,,True
TRUWORTHS INTERNATIONAL LIMITED,TRU.JO,77.22222222222221,Truworths Int Ltd,False
TRUWORTHS INTERNATIONAL LIMITED,TRU.JO,77.22222222222221,Truworths Int Ltd,False
TSOGO SUN LIMITED,TSG.JO,100.0,Tsogo Sun Limited,False
UNIVERSAL PARTNERS LIMITED,UPL.JO,100.0,Universal Partners Ltd,False
VALTERRA PLATINUM LIMITED,VAL.JO,105.0,Valterra Platinum Ltd,False
VISUAL INTERNATIONAL HOLDINGS LIMITED,VIS.JO,91.95652173913044,Visual International Hldgs Ltd,False
VODACOM GROUP LIMITED,VOD.JO,105.0,Vodacom Group Ltd,False
VUKILE PROPERTY FUND LIMITED,VKE.JO,100.0,Vukile Property Fund Ltd,False
VUKILE PROPERTY FUND LIMITED,VKE.JO,100.0,Vukile Property Fund Ltd,False
VUNANI LIMITED,VUN.JO,105.0,Vunani Ltd,False
WE BUY CARS HOLDINGS LIMITED,,0.0,,True
WEAVER FINTECH LIMITED,,0.0,,True
WESIZWE PLATINUM LIMITED,,0.0,,True
WILSON BAYLY HOLMES-OVCON LIMITED,WBO.JO,88.88888888888889,Wilson Bayly Hlm-Ovc Ltd,False
WOOLWORTHS HOLDINGS LIMITED,WHL.JO,100.0,Woolworths Holdings Ltd,False
YORK TIMBER HOLDINGS LIMITED,YRK.JO,100.0,York Timber Holdings Ltd,False
ZEDA LIMITED,ZZD.JO,100.0,Zeda Limited,False
ZEDER INVESTMENTS LIMITED,,0.0,,True
