4SIGHT HOLDINGS LIMITED | 4SI.JO
SBN HOLDINGS LIMITED | 
SCHRODER EUROPEAN REAL ESTATE INVESTMENT TRUST PLC | 
SEA HARVEST GROUP LIMITED | SHG.JO
SEBATA HOLDINGS LIMITED | SEB.JO
SEPHAKU HOLDINGS LIMITED | SEP.JO
SHAFTESBURY CAPITAL PLC | SHC.JO
SHOPRITE HOLDINGS LIMITED | 
SHUKA MINERALS PLC | SKA.JO
SIBANYE STILLWATER LIMITED | SSW.JO
SIRIUS REAL ESTATE LIMITED | SRE.JO
SOUTH OCEAN HOLDINGS LIMITED | SOH.JO
SOUTH32 LIMITED | S32.JO
SOUTHERN PALLADIUM LIMITED | SDL.JO
SOUTHERN SUN LIMITED | SSU.JO
SPEAR REIT LIMITED | SEA.JO
SPUR CORPORATION LIMITED | 
STADIO HOLDINGS LIMITED | SDO.JO
STANDARD BANK GROUP LIMITED | SBK.JO
STEFANUTTI STOCKS HOLDINGS LIMITED | SSK.JO
STIMULUS INVESTMENTS LIMITED | 
STOR-AGE PROPERTY REIT LIMITED | SSS.JO
SUN INTERNATIONAL LIMITED | SUI.JO
SUPER GROUP LIMITED | SPG.JO
SUPERMARKET INCOME REIT PLC | 
SYGNIA LIMITED | SYG.JO
TADVEST LIMITED | 
TELEMASTERS HOLDINGS LIMITED | TLM.JO
TELKOM SA SOC LIMITED | 
TEXTON PROPERTY FUND LIMITED | TEX.JO
THARISA PLC | THA.JO
THE BIDVEST GROUP LIMITED | BVT.JO
THE FOSCHINI GROUP LIMITED | TFG.JO
THE SPAR GROUP LIMITED | 
THUNGELA RESOURCES LIMITED | TGA.JO
TIGER BRANDS LIMITED | TBS.JO
TONGAAT HULETT LIMITED | TON.JO
TRANSPACO LIMITED | TPC.JO
TRELLIDOR HOLDINGS LIMITED | TRL.JO
TREMATON CAPITAL INVESTMENTS LIMITED | TMT.JO
TRUSTCO GROUP HOLDINGS LIMITED | 
TRUWORTHS INTERNATIONAL LIMITED | TRU.JO
TRUWORTHS INTERNATIONAL LIMITED | TRU.JO
TSOGO SUN LIMITED | TSG.JO
UNIVERSAL PARTNERS LIMITED | UPL.JO
VALTERRA PLATINUM LIMITED | VAL.JO
VISUAL INTERNATIONAL HOLDINGS LIMITED | VIS.JO
VODACOM GROUP LIMITED | VOD.JO
VUKILE PROPERTY FUND LIMITED | VKE.JO
VUKILE PROPERTY FUND LIMITED | VKE.JO
VUNANI LIMITED | VUN.JO
WE BUY CARS HOLDINGS LIMITED | 
WEAVER FINTECH LIMITED | 
WESIZWE PLATINUM LIMITED | 
WILSON BAYLY HOLMES-OVCON LIMITED | WBO.JO
WOOLWORTHS HOLDINGS LIMITED | WHL.JO
YORK TIMBER HOLDINGS LIMITED | YRK.JO
ZEDA LIMITED | ZZD.JO
ZEDER INVESTMENTS LIMITED | 
